"sg_unidade","nr_ano","vl_nota_padronizada","tx_ind_rendimento","vl_ideb"
MG,2015,6.274644,0.977418,6.1
ES,2015,5.94138,0.921967,5.5
RJ,2015,5.84308,0.883691,5.2
SP,2015,6.382211,0.972581,6.2
PR,2015,6.406529,0.947529,6.1
SC,2015,6.397267,0.960865,6.1
RS,2015,5.944849,0.91821,5.5
MS,2015,5.925076,0.891165,5.3
MT,2015,5.656334,0.979421,5.5
GO,2015,5.866876,0.948179,5.6
DF,2015,6.060235,0.920613,5.6
RO,2017,6.096827,0.928856,5.7
AC,2017,6.305422,0.906128,5.7
AM,2017,5.78446,0.910853,5.3
RR,2017,5.808307,0.929081,5.4
PA,2017,5.201097,0.861379,4.5
AP,2017,4.958688,0.885485,4.4
TO,2017,5.759284,0.938538,5.4
MA,2017,4.915452,0.923472,4.5
PI,2017,5.578263,0.895723,5.0
CE,2017,6.277187,0.966161,6.1
RN,2017,5.126423,0.884231,4.5
PB,2017,5.280033,0.886321,4.7
PE,2017,5.36133,0.899935,4.8
AL,2017,5.327933,0.918166,4.9
SE,2017,5.084922,0.848907,4.3
BA,2017,5.372378,0.873217,4.7
MG,2017,6.463514,0.977185,6.3
ES,2017,6.126681,0.93326,5.7
RJ,2017,5.943509,0.892768,5.3
SP,2017,6.604794,0.977041,6.5
PR,2017,6.657963,0.946604,6.3
SC,2017,6.540523,0.961441,6.3
RS,2017,6.101027,0.919567,5.6
MS,2017,6.130188,0.899244,5.5
MT,2017,5.840896,0.979828,5.7
GO,2017,6.159949,0.958164,5.9
DF,2017,6.361084,0.937259,6.0
RO,2019,5.849068,0.93308,5.5
AC,2019,6.282855,0.925546,5.8
AM,2019,5.737657,0.926863,5.3
RR,2019,5.873627,0.931647,5.5
PA,2019,5.329951,0.876286,4.7
AP,2019,5.169702,0.902369,4.7
TO,2019,5.795109,0.948527,5.5
MA,2019,5.106179,0.937722,4.8
PI,2019,5.873736,0.926795,5.4
CE,2019,6.383482,0.980422,6.3
RN,2019,5.241192,0.903368,4.7
PB,2019,5.495106,0.914257,5.0
PE,2019,5.525059,0.93036,5.1
AL,2019,5.583086,0.957213,5.3
SE,2019,5.178904,0.882295,4.6
BA,2019,5.487896,0.894974,4.9
MG,2019,6.403263,0.978841,6.3
ES,2019,6.243419,0.945101,5.9
RJ,2019,5.948717,0.909206,5.4
SP,2019,6.618011,0.982214,6.5
PR,2019,6.726514,0.957577,6.4
SC,2019,6.523239,0.960339,6.3
RS,2019,6.231472,0.927835,5.8
MS,2019,6.07511,0.910627,5.5
MT,2019,5.856935,0.976859,5.7
GO,2019,6.231086,0.963058,6.0
DF,2019,6.469267,0.948496,6.1
RO,2021,,,
AC,2021,,,
AM,2021,,,
RR,2021,,,
PA,2021,,,
AP,2021,,,
TO,2021,,,
MA,2021,,,
PI,2021,,,
CE,2021,,,
RN,2021,,,
PB,2021,,,
PE,2021,,,
AL,2021,,,
SE,2021,,,
BA,2021,,,
MG,2021,,,
ES,2021,,,
RJ,2021,,,
SP,2021,,,
PR,2021,,,
SC,2021,,,
RS,2021,,,
MS,2021,,,
MT,2021,,,
GO,2021,,,
DF,2021,,,
